sigma:0,sigma:1,sigma:2,sigma:3,sigma:4,sigma:5,arc_length,Points:0,Points:1,Points:2
2.21E+07,8.66E+06,9.41E+06,2.86E+06,-7.22E-10,-1.82E-09,0.405,0,0.905,0
2.19E+07,8.60E+06,9.33E+06,2.86E+06,-7.35E-10,-1.80E-09,0.4055,0,0.9055,0
2.17E+07,8.54E+06,9.25E+06,2.86E+06,-7.48E-10,-1.77E-09,0.406,0,0.906,0
2.15E+07,8.48E+06,9.17E+06,2.87E+06,-7.61E-10,-1.74E-09,0.4065,0,0.9065,0
2.13E+07,8.42E+06,9.08E+06,2.87E+06,-7.73E-10,-1.71E-09,0.407,0,0.907,0
2.11E+07,8.36E+06,9.00E+06,2.87E+06,-7.86E-10,-1.69E-09,0.4075,0,0.9075,0
2.09E+07,8.30E+06,8.92E+06,2.88E+06,-7.99E-10,-1.66E-09,0.408,0,0.908,0
2.07E+07,8.23E+06,8.84E+06,2.88E+06,-8.11E-10,-1.63E-09,0.4085,0,0.9085,0
2.04E+07,8.17E+06,8.75E+06,2.88E+06,-8.24E-10,-1.60E-09,0.409,0,0.909,0
2.02E+07,8.11E+06,8.67E+06,2.89E+06,-8.37E-10,-1.58E-09,0.4095,0,0.9095,0
2.00E+07,8.05E+06,8.59E+06,2.89E+06,-8.50E-10,-1.55E-09,0.41,0,0.91,0
1.98E+07,7.99E+06,8.50E+06,2.89E+06,-8.62E-10,-1.52E-09,0.4105,0,0.9105,0
1.96E+07,7.93E+06,8.42E+06,2.90E+06,-8.75E-10,-1.49E-09,0.411,0,0.911,0
1.94E+07,7.87E+06,8.34E+06,2.90E+06,-8.88E-10,-1.47E-09,0.4115,0,0.9115,0
1.92E+07,7.81E+06,8.26E+06,2.90E+06,-9.01E-10,-1.44E-09,0.412,0,0.912,0
1.90E+07,7.75E+06,8.17E+06,2.91E+06,-9.13E-10,-1.41E-09,0.4125,0,0.9125,0
1.88E+07,7.69E+06,8.09E+06,2.91E+06,-9.26E-10,-1.38E-09,0.413,0,0.913,0
1.86E+07,7.63E+06,8.01E+06,2.91E+06,-9.39E-10,-1.36E-09,0.4135,0,0.9135,0
1.84E+07,7.57E+06,7.92E+06,2.92E+06,-9.52E-10,-1.33E-09,0.414,0,0.914,0
1.82E+07,7.51E+06,7.84E+06,2.92E+06,-9.64E-10,-1.30E-09,0.4145,0,0.9145,0
1.79E+07,7.45E+06,7.76E+06,2.92E+06,-9.77E-10,-1.27E-09,0.415,0,0.915,0
1.77E+07,7.39E+06,7.68E+06,2.93E+06,-9.90E-10,-1.25E-09,0.4155,0,0.9155,0
1.75E+07,7.33E+06,7.59E+06,2.93E+06,-1.00E-09,-1.22E-09,0.416,0,0.916,0
1.73E+07,7.26E+06,7.51E+06,2.93E+06,-1.02E-09,-1.19E-09,0.4165,0,0.9165,0
1.71E+07,7.20E+06,7.43E+06,2.94E+06,-1.03E-09,-1.16E-09,0.417,0,0.917,0
1.69E+07,7.14E+06,7.34E+06,2.94E+06,-1.04E-09,-1.14E-09,0.4175,0,0.9175,0
1.67E+07,7.08E+06,7.26E+06,2.94E+06,-1.05E-09,-1.11E-09,0.418,0,0.918,0
1.65E+07,7.02E+06,7.18E+06,2.95E+06,-1.07E-09,-1.08E-09,0.4185,0,0.9185,0
1.63E+07,6.96E+06,7.10E+06,2.95E+06,-1.08E-09,-1.05E-09,0.419,0,0.919,0
1.61E+07,6.90E+06,7.01E+06,2.95E+06,-1.09E-09,-1.03E-09,0.4195,0,0.9195,0
1.59E+07,6.84E+06,6.93E+06,2.96E+06,-1.10E-09,-9.99E-10,0.42,0,0.92,0
1.57E+07,6.78E+06,6.85E+06,2.96E+06,-1.12E-09,-9.72E-10,0.4205,0,0.9205,0
1.54E+07,6.72E+06,6.77E+06,2.96E+06,-1.13E-09,-9.44E-10,0.421,0,0.921,0
