# PointID PointCoord Dx Dy Dz magD
133 (0 0.875 0) 0 -9.67241e-05 0 9.67241e-05
132 (0 0.8875 0) 0 -9.7134e-05 0 9.7134e-05
131 (0 0.9 0) 0 -9.75367e-05 0 9.75367e-05
130 (0 0.9125 0) 0 -9.79308e-05 0 9.79308e-05
129 (0 0.925 0) 0 -9.83148e-05 0 9.83148e-05
128 (0 0.9375 0) 0 -9.86865e-05 0 9.86865e-05
127 (0 0.95 0) 0 -9.90445e-05 0 9.90445e-05
126 (0 0.9625 0) 0 -9.93851e-05 0 9.93851e-05
125 (0 0.975 0) 0 -9.97082e-05 0 9.97082e-05
124 (0 0.9875 0) 0 -0.000100006 0 0.000100006
3 (0 1 0) 0 -0.000100211 -3.61329e-23 0.000100211
4 (0 0.5 0) 0 -0.000117752 -2.87939e-22 0.000117752
151 (0 0.525 0) 0 -0.000120799 0 0.000120799
150 (0 0.55 0) 0 -0.000124184 0 0.000124184
149 (0 0.575 0) 0 -0.000126888 0 0.000126888
148 (0 0.6 0) 0 -0.00012918 0 0.00012918
147 (0 0.625 0) 0 -0.000131131 0 0.000131131
146 (0 0.65 0) 0 -0.00013287 0 0.00013287
145 (0 0.675 0) 0 -0.000134441 0 0.000134441
144 (0 0.7 0) 0 -0.000135909 0 0.000135909
143 (0 0.725 0) 0 -0.000137298 0 0.000137298
6 (0 0.75 0) 0 -0.000138482 0 0.000138482
142 (0 0.7625 0) 0 -0.000139312 0 0.000139312
141 (0 0.775 0) 0 -0.000139981 0 0.000139981
140 (0 0.7875 0) 0 -0.000140645 0 0.000140645
139 (0 0.8 0) 0 -0.000141304 0 0.000141304
138 (0 0.8125 0) 0 -0.000141957 0 0.000141957
137 (0 0.825 0) 0 -0.000142606 0 0.000142606
136 (0 0.8375 0) 0 -0.00014325 0 0.00014325
135 (0 0.85 0) 0 -0.000143888 0 0.000143888
134 (0 0.8625 0) 0 -0.000144519 0 0.000144519
133 (0 0.875 0) 0 -0.000145143 0 0.000145143
132 (0 0.8875 0) 0 -0.000145758 0 0.000145758
